MissingRate,Feature,Mean,ClinDiff-Lite,Grouped
20%,age,10.971794522176372,10.982214400954906,10.971794522176372
20%,db_before_treatment,53.48212978530385,40.34357204454493,39.743009337958725
20%,fasting_glucose_mmol_L,3.411847513784924,3.411847513784924,3.411847513784924
20%,ggt_before_treatment,383.83904938959256,379.293152711828,367.880984924557
20%,survival_days,585.3179580580241,585.3179580580241,585.3179580580241
20%,tb_before_treatment,94.58271343640845,78.00683437749913,78.0152163182299
40%,age,11.023414407055835,11.034692538640973,11.023414407055835
40%,db_before_treatment,53.893432092931356,45.70110005885935,44.433366814124014
40%,fasting_glucose_mmol_L,3.4658555163824607,3.4658555163824607,3.4658555163824607
40%,ggt_before_treatment,401.9045107697134,405.476877632001,404.56338833277476
40%,survival_days,616.6470808926778,617.4084037374171,616.6470808926778
40%,tb_before_treatment,96.82431883898383,87.69322909633495,87.59266629173621
60%,age,11.01738465072354,11.019278948924933,11.01738465072354
60%,db_before_treatment,53.31960921653556,49.77703284075188,48.85235537796414
60%,fasting_glucose_mmol_L,3.37901854026219,3.3838717530344153,3.37901854026219
60%,ggt_before_treatment,397.2423561301553,398.12543797643656,419.095619044119
60%,survival_days,610.1397910768397,611.0520678566223,610.1397910768397
60%,tb_before_treatment,96.13164996965963,91.93180994164335,90.6365055752664
